seller_id,purchase_date,item_gmv_brl,distinct_orders,month
0015a82c2db000af6aaaf3ae2ecb0532,2017-09-01,895.00000,1,2017-09
0015a82c2db000af6aaaf3ae2ecb0532,2017-10-01,1790.00000,2,2017-10
001cca7ae9ae17fb1caed9dfb1094831,2017-02-01,1098.90000,5,2017-02
001cca7ae9ae17fb1caed9dfb1094831,2017-03-01,1676.70000,11,2017-03
001cca7ae9ae17fb1caed9dfb1094831,2017-04-01,1708.20000,13,2017-04
001cca7ae9ae17fb1caed9dfb1094831,2017-05-01,2639.99000,23,2017-05
001cca7ae9ae17fb1caed9dfb1094831,2017-06-01,2213.49000,21,2017-06
001cca7ae9ae17fb1caed9dfb1094831,2017-07-01,2483.95000,21,2017-07
001cca7ae9ae17fb1caed9dfb1094831,2017-08-01,1244.00000,11,2017-08
001cca7ae9ae17fb1caed9dfb1094831,2017-09-01,1714.00000,12,2017-09
001cca7ae9ae17fb1caed9dfb1094831,2017-10-01,2626.00000,22,2017-10
001cca7ae9ae17fb1caed9dfb1094831,2017-11-01,2540.00000,20,2017-11
001cca7ae9ae17fb1caed9dfb1094831,2017-12-01,1330.00000,12,2017-12
001cca7ae9ae17fb1caed9dfb1094831,2018-01-01,914.00000,8,2018-01
001cca7ae9ae17fb1caed9dfb1094831,2018-02-01,331.00000,3,2018-02
001cca7ae9ae17fb1caed9dfb1094831,2018-03-01,1056.90000,6,2018-03
001cca7ae9ae17fb1caed9dfb1094831,2018-04-01,539.00000,4,2018-04
001cca7ae9ae17fb1caed9dfb1094831,2018-06-01,241.00000,2,2018-06
001cca7ae9ae17fb1caed9dfb1094831,2018-07-01,129.90000,1,2018-07
002100f778ceb8431b7a1020ff7ab48f,2017-09-01,47.60000,3,2017-09
002100f778ceb8431b7a1020ff7ab48f,2017-10-01,191.90000,9,2017-10
002100f778ceb8431b7a1020ff7ab48f,2017-11-01,276.80000,11,2017-11
002100f778ceb8431b7a1020ff7ab48f,2017-12-01,265.50000,15,2017-12
002100f778ceb8431b7a1020ff7ab48f,2018-01-01,77.70000,3,2018-01
002100f778ceb8431b7a1020ff7ab48f,2018-02-01,189.60000,4,2018-02
002100f778ceb8431b7a1020ff7ab48f,2018-03-01,57.70000,3,2018-03
002100f778ceb8431b7a1020ff7ab48f,2018-04-01,109.80000,2,2018-04
003554e2dce176b5555353e4f3555ac8,2017-12-01,120.00000,1,2017-12
004c9cd9d87a3c30c522c48c4fc07416,2017-01-01,719.94000,6,2017-01
004c9cd9d87a3c30c522c48c4fc07416,2017-02-01,2043.36000,12,2017-02
004c9cd9d87a3c30c522c48c4fc07416,2017-03-01,1078.91000,6,2017-03
004c9cd9d87a3c30c522c48c4fc07416,2017-04-01,1389.92000,10,2017-04
004c9cd9d87a3c30c522c48c4fc07416,2017-05-01,445.96000,4,2017-05
004c9cd9d87a3c30c522c48c4fc07416,2017-06-01,1338.90000,9,2017-06
004c9cd9d87a3c30c522c48c4fc07416,2017-07-01,1263.62000,12,2017-07
004c9cd9d87a3c30c522c48c4fc07416,2017-08-01,2653.98000,21,2017-08
004c9cd9d87a3c30c522c48c4fc07416,2017-09-01,1278.22000,14,2017-09
004c9cd9d87a3c30c522c48c4fc07416,2017-10-01,679.85000,6,2017-10
004c9cd9d87a3c30c522c48c4fc07416,2017-11-01,2095.40000,18,2017-11
004c9cd9d87a3c30c522c48c4fc07416,2017-12-01,1374.81000,13,2017-12
004c9cd9d87a3c30c522c48c4fc07416,2018-01-01,1110.16000,8,2018-01
004c9cd9d87a3c30c522c48c4fc07416,2018-02-01,395.19000,3,2018-02
004c9cd9d87a3c30c522c48c4fc07416,2018-03-01,659.66000,8,2018-03
004c9cd9d87a3c30c522c48c4fc07416,2018-04-01,692.35000,4,2018-04
004c9cd9d87a3c30c522c48c4fc07416,2018-05-01,349.50000,2,2018-05
00720abe85ba0859807595bbf045a33b,2018-01-01,156.00000,1,2018-01
00720abe85ba0859807595bbf045a33b,2018-02-01,78.00000,1,2018-02
00720abe85ba0859807595bbf045a33b,2018-03-01,54.00000,2,2018-03
00720abe85ba0859807595bbf045a33b,2018-04-01,151.70000,3,2018-04
00720abe85ba0859807595bbf045a33b,2018-05-01,269.60000,3,2018-05
00720abe85ba0859807595bbf045a33b,2018-06-01,88.20000,1,2018-06
00720abe85ba0859807595bbf045a33b,2018-07-01,78.00000,1,2018-07
00720abe85ba0859807595bbf045a33b,2018-08-01,132.00000,1,2018-08
00ab3eff1b5192e5f1a63bcecfee11c8,2017-03-01,98.00000,1,2017-03
00d8b143d12632bad99c0ad66ad52825,2018-03-01,86.00000,1,2018-03
00ee68308b45bc5e2660cd833c3f81cc,2017-09-01,240.00000,2,2017-09
00ee68308b45bc5e2660cd833c3f81cc,2017-10-01,1016.00000,11,2017-10
00ee68308b45bc5e2660cd833c3f81cc,2017-11-01,1735.00000,12,2017-11
00ee68308b45bc5e2660cd833c3f81cc,2017-12-01,1777.00000,16,2017-12
00ee68308b45bc5e2660cd833c3f81cc,2018-01-01,6534.00000,42,2018-01
00ee68308b45bc5e2660cd833c3f81cc,2018-02-01,3348.00000,17,2018-02
00ee68308b45bc5e2660cd833c3f81cc,2018-03-01,2688.00000,17,2018-03
00ee68308b45bc5e2660cd833c3f81cc,2018-04-01,2312.00000,12,2018-04
00ee68308b45bc5e2660cd833c3f81cc,2018-05-01,79.00000,1,2018-05
00ee68308b45bc5e2660cd833c3f81cc,2018-06-01,214.00000,3,2018-06
00ee68308b45bc5e2660cd833c3f81cc,2018-07-01,119.00000,1,2018-07
00ee68308b45bc5e2660cd833c3f81cc,2018-08-01,198.00000,1,2018-08
00fc707aaaad2d31347cf883cd2dfe10,2018-01-01,260.40000,2,2018-01
00fc707aaaad2d31347cf883cd2dfe10,2018-02-01,9096.60000,72,2018-02
00fc707aaaad2d31347cf883cd2dfe10,2018-03-01,1745.70000,17,2018-03
00fc707aaaad2d31347cf883cd2dfe10,2018-04-01,1195.80000,9,2018-04
00fc707aaaad2d31347cf883cd2dfe10,2018-05-01,190.00000,1,2018-05
00fc707aaaad2d31347cf883cd2dfe10,2018-06-01,196.40000,2,2018-06
010543a62bd80aa422851e79a3bc7540,2017-07-01,708.00000,1,2017-07
010543a62bd80aa422851e79a3bc7540,2017-08-01,708.00000,1,2017-08
010da0602d7774602cd1b3f5fb7b709e,2018-06-01,849.50000,1,2018-06
011b0eaba87386a2ae96a7d32bb531d1,2016-10-01,99.98000,1,2016-10
01266d4c46afa519678d16a8b683d325,2018-08-01,90.25000,3,2018-08
013900e863eace745d3ec7614cab5b1a,2017-03-01,146.00000,2,2017-03
013900e863eace745d3ec7614cab5b1a,2017-08-01,162.00000,1,2017-08
013900e863eace745d3ec7614cab5b1a,2017-11-01,120.80000,2,2017-11
013900e863eace745d3ec7614cab5b1a,2017-12-01,339.90000,5,2017-12
013900e863eace745d3ec7614cab5b1a,2018-01-01,277.50000,5,2018-01
013900e863eace745d3ec7614cab5b1a,2018-02-01,387.50000,6,2018-02
013900e863eace745d3ec7614cab5b1a,2018-04-01,186.00000,2,2018-04
014c0679dd340a0e338872e7ec85666a,2017-01-01,110.00000,1,2017-01
014c0679dd340a0e338872e7ec85666a,2017-02-01,110.00000,1,2017-02
014c0679dd340a0e338872e7ec85666a,2017-04-01,594.00000,1,2017-04
014c0679dd340a0e338872e7ec85666a,2017-05-01,594.00000,1,2017-05
014c0679dd340a0e338872e7ec85666a,2017-09-01,589.00000,1,2017-09
014c0679dd340a0e338872e7ec85666a,2017-11-01,175.00000,1,2017-11
014c0679dd340a0e338872e7ec85666a,2017-12-01,400.00000,1,2017-12
014c0679dd340a0e338872e7ec85666a,2018-01-01,435.00000,1,2018-01
014c0679dd340a0e338872e7ec85666a,2018-02-01,1320.00000,1,2018-02
014c0679dd340a0e338872e7ec85666a,2018-03-01,1693.00000,3,2018-03
014c0679dd340a0e338872e7ec85666a,2018-04-01,358.00000,1,2018-04
014c0679dd340a0e338872e7ec85666a,2018-07-01,680.00000,1,2018-07
014d9a685fd57276679edd00e07089e5,2017-11-01,69.99000,1,2017-11
014d9a685fd57276679edd00e07089e5,2018-01-01,69.99000,1,2018-01
014d9a685fd57276679edd00e07089e5,2018-03-01,217.96000,4,2018-03
014d9a685fd57276679edd00e07089e5,2018-04-01,131.97000,2,2018-04
014d9a685fd57276679edd00e07089e5,2018-08-01,239.97000,3,2018-08
0176f73cc1195f367f7b32db1e5b3aa8,2017-11-01,559.70000,3,2017-11
0176f73cc1195f367f7b32db1e5b3aa8,2018-01-01,875.40000,6,2018-01
