origin,eligible_leads,wins_90d,conversion_90d,ci_low,ci_high
direct_traffic,499,50,0.10020,0.07683,0.12968
display,118,6,0.05085,0.02351,0.10651
email,493,12,0.02434,0.01398,0.04206
missing,60,12,0.20000,0.11828,0.31782
organic_search,2296,217,0.09451,0.08321,0.10716
other,150,4,0.02667,0.01042,0.06655
other_publicities,65,3,0.04615,0.01582,0.12714
paid_search,1586,150,0.09458,0.08114,0.10998
referral,284,21,0.07394,0.04887,0.11039
social,1350,58,0.04296,0.03338,0.05514
unknown,1099,157,0.14286,0.12341,0.16479
