month,origin,observed_gmv_brl,item_rows
2018-01,paid_search,70.00000,2
2018-01,referral,634.40000,1
2018-01,unknown,89.90000,1
2018-02,direct_traffic,277.99000,5
2018-02,organic_search,1010.42000,15
2018-02,paid_search,1084.55000,15
2018-02,social,276.87000,3
2018-02,unknown,8614.42000,43
2018-03,direct_traffic,291.90000,3
2018-03,email,92.50000,5
2018-03,organic_search,15701.79000,46
2018-03,paid_search,3251.69000,47
2018-03,referral,634.40000,1
2018-03,social,628.83000,7
2018-03,unknown,33048.10000,130
2018-04,direct_traffic,3222.90000,23
2018-04,display,134.00000,1
2018-04,email,102.90000,4
2018-04,organic_search,26010.70000,139
2018-04,paid_search,14115.64000,119
2018-04,referral,739.30000,2
2018-04,social,3431.33000,31
2018-04,unknown,35397.39000,195
2018-05,direct_traffic,4331.59000,28
2018-05,display,273.00000,2
2018-05,email,3654.90000,3
2018-05,missing,69.90000,1
2018-05,organic_search,32058.56000,214
2018-05,other,1106.00000,7
2018-05,paid_search,27694.81000,295
2018-05,referral,1236.48000,16
2018-05,social,4217.16000,56
2018-05,unknown,47794.22000,356
2018-06,direct_traffic,3586.32000,49
2018-06,display,129.00000,1
2018-06,email,2784.89000,3
2018-06,missing,203.70000,3
2018-06,organic_search,26886.23000,221
2018-06,other,2389.69000,37
2018-06,paid_search,36777.32000,344
2018-06,referral,4708.93000,16
2018-06,social,10247.15000,75
2018-06,unknown,24085.79000,158
2018-07,direct_traffic,6273.09000,52
2018-07,display,256.00000,2
2018-07,email,69.00000,1
2018-07,missing,636.40000,3
2018-07,organic_search,50667.63000,341
2018-07,other,1220.50000,17
2018-07,paid_search,33979.85000,318
2018-07,referral,4920.36000,15
2018-07,social,10418.33000,106
2018-07,unknown,25603.58000,198
2018-08,direct_traffic,3869.11000,55
2018-08,display,131.00000,1
2018-08,email,1780.80000,8
2018-08,missing,332.60000,4
2018-08,organic_search,52174.46000,353
2018-08,other,2060.56000,32
2018-08,paid_search,34470.29000,293
2018-08,referral,3704.38000,24
2018-08,social,14174.53000,163
2018-08,unknown,35017.97000,275
