origin,matured_wins,wins_with_recorded_sales,observed_gmv_90d_brl,mean_gmv_per_win_brl,median_gmv_per_win_brl,observed_sale_share,gmv_ci_low_brl,gmv_ci_high_brl
direct_traffic,47,22,8948.63000,190.39638,0.00000,0.46809,102.74985,290.01734
display,6,1,273.00000,45.50000,0.00000,0.16667,0.00000,136.50000
email,12,5,6129.69000,510.80750,0.00000,0.41667,12.86796,1443.29560
missing,11,3,581.00000,52.81818,0.00000,0.27273,0.00000,109.75364
organic_search,200,80,89822.67000,449.11335,0.00000,0.40000,234.59441,784.82022
other,4,1,5172.08000,1293.02000,0.00000,0.25000,0.00000,3879.06000
other_publicities,3,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
paid_search,134,73,71601.90000,534.34254,48.35000,0.54478,313.02940,833.05425
referral,18,8,10390.76000,577.26444,0.00000,0.44444,122.59894,1237.79497
social,51,23,12668.22000,248.39647,0.00000,0.45098,112.02291,421.67714
unknown,149,60,122746.53000,823.80221,0.00000,0.40268,217.61538,1943.97691
